
GrupoA

/home/user/GrupoA /home/user
There are 83 tests
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe00 10 "Erro semantico (Linha 3): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe01 10 "Erro semantico (Linha 3): Funcao nao declarada. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe02 10 "Erro semantico (Linha 4): Funcao nao declarada. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe03 10 "Erro semantico (Linha 4): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe04 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe05 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe06 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe07 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe08 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe09 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe10 10 "Erro semantico (Linha 6): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe11 10 "Erro semantico (Linha 7): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe12 10 "Erro semantico (Linha 7): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe13 10 "Erro semantico (Linha 7): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe14 10 "Erro semantico (Linha 7): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe15 10 "Erro semantico (Linha 11): Identificador nao declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe16 11 "Erro semantico (Linha 4): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe17 11 "Erro semantico (Linha 4): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe18 11 "Erro semantico (Linha 6): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe19 11 "Erro semantico (Linha 6): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe20 11 "Erro semantico (Linha 6): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe21 11 "Erro semantico (Linha 5): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe22 11 "Erro semantico (Linha 6): Identificador ja declarado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe23 11 "Erro semantico (Linha 0): Uso duplicado. Parametro com nome duplicado. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe24 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe25 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe26 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe27 11 "Erro semantico (Linha 3): Funcao ja declarada. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe28 11 "Erro semantico (Linha 3): Funcao ja declarada. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe29 11 "Erro semantico (Linha 3): Funcao ja declarada. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe30 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe31 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe32 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe33 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe34 20 "Erro semantico (Linha 4): Variavel usada como funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe35 20 "Erro semantico (Linha 4): Variavel usada como funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe36 20 "Erro semantico (Linha 5): Variavel usada como funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe37 20 "Erro semantico (Linha 5): Variavel usada como funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe38 21 "Erro semantico (Linha 3): Funcao usada como variavel em atribuicao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe39 21 "Erro semantico (Linha 4): Funcao usada como variavel em atribuicao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe40 21 "Erro semantico (Linha 5): Funcao usada como variavel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe41 21 "Erro semantico (Linha 6): Funcao usada como variavel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe42 40 "Erro semantico (Linha 4): Faltam argumentos na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe43 40 "Erro semantico (Linha 4): Faltam argumentos na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe44 41 "Erro semantico (Linha 4): Argumentos em excesso na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe45 41 "Erro semantico (Linha 4): Argumentos em excesso na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe46 42 "Erro semantico (Linha 5): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe47 42 "Erro semantico (Linha 5): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe48 0 "digraph grafo { "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe49 42 "Erro semantico (Linha 6): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe50 42 "Erro semantico (Linha 6): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe51 42 "Erro semantico (Linha 6): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe52 42 "Erro semantico (Linha 6): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe53 42 "Erro semantico (Linha 6): Tipo incorreto. Argumento de tipo incompativel. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe54 41 "Erro semantico (Linha 5): Argumentos em excesso na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe55 41 "Erro semantico (Linha 5): Argumentos em excesso na chamada da funcao. "
GrupoA |DEBUG GrupoA_tests/e4/2025_2/qwe56 41 "Erro semantico (Linha 5): Argumentos em excesso na chamada da funcao. "
